"學校" "班級" "學生" "性別" "家裡書量" "班級人數" "學校書量" "科學"
5005 500503 50050302 "男" 1 28 "多於2000" 565.8108
5005 500503 50050303 "男" 5 28 "多於2000" 548.90936
5005 500503 50050304 "男" 4 28 "多於2000" 495.88333
5005 500503 50050305 "男" 3 28 "多於2000" 623.14749
5005 500503 50050306 "男" 3 28 "多於2000" 432.99814
5005 500503 50050307 "男" 3 28 "多於2000" 489.19769
5005 500503 50050309 "男" 3 28 "多於2000" 508.38027
5005 500503 50050310 "男" 5 28 "多於2000" 628.75622
5005 500503 50050311 "男" 2 28 "多於2000" 551.77879
5005 500503 50050312 "男" 5 28 "多於2000" 581.05379
5005 500503 50050314 "男" 3 28 "多於2000" 564.67656
5005 500503 50050315 "男" 1 28 "多於2000" 494.95922
5005 500503 50050316 "女" 2 28 "多於2000" 521.47875
5005 500503 50050317 "女" 3 28 "多於2000" 428.10816
5005 500503 50050318 "女" 5 28 "多於2000" 622.39652
5005 500503 50050319 "女" 2 28 "多於2000" 681.242
5005 500503 50050320 "女" 2 28 "多於2000" 618.85241
5005 500503 50050321 "女" 3 28 "多於2000" 551.82263
5005 500503 50050322 "女" 5 28 "多於2000" 648.62127
5005 500503 50050323 "女" 2 28 "多於2000" 682.91905
5005 500503 50050324 "女" 4 28 "多於2000" 598.39117
5005 500503 50050325 "女" 4 28 "多於2000" 587.59849
5005 500503 50050326 "女" 2 28 "多於2000" 578.71287
5005 500503 50050327 "女" 4 28 "多於2000" 527.38749
5005 500503 50050328 "女" 3 28 "多於2000" 576.53743
5005 500503 50050329 "女" 3 28 "多於2000" 611.06196
5006 500603 50060301 "女" NA 44 "多於2000" 545.23537
5006 500603 50060302 "女" 2 44 "多於2000" 543.17411
5006 500603 50060303 "女" 3 44 "多於2000" 750.94853
5006 500603 50060304 "女" 4 44 "多於2000" 669.67963
5006 500603 50060305 "女" 4 44 "多於2000" 644.73901
5006 500603 50060306 "女" 2 44 "多於2000" 539.60198
5006 500603 50060307 "女" 4 44 "多於2000" 572.59842
5006 500603 50060308 "女" 4 44 "多於2000" 608.93233
5006 500603 50060309 "女" 2 44 "多於2000" 474.62868
5006 500603 50060310 "女" 1 44 "多於2000" 564.92518
5006 500603 50060311 "女" 2 44 "多於2000" 551.28261
5006 500603 50060312 "女" 3 44 "多於2000" 598.3892
5006 500603 50060313 "女" 3 44 "多於2000" 577.91691
5006 500603 50060314 "女" 2 44 "多於2000" 570.16773
5006 500603 50060315 "女" 1 44 "多於2000" 617.56701
5006 500603 50060316 "女" 4 44 "多於2000" 619.76908
5006 500603 50060317 "女" 3 44 "多於2000" 511.68553
5006 500603 50060318 "男" 5 44 "多於2000" 695.26993
5006 500603 50060319 "男" 3 44 "多於2000" 518.79014
5006 500603 50060320 "男" 3 44 "多於2000" 588.45167
5006 500603 50060321 "男" 5 44 "多於2000" 759.27145
5006 500603 50060322 "男" 3 44 "多於2000" 540.167
5006 500603 50060323 "男" 4 44 "多於2000" 580.7775
5006 500603 50060324 "男" 4 44 "多於2000" 612.9203
5006 500603 50060325 "男" 5 44 "多於2000" 593.42944
5006 500603 50060326 "男" 5 44 "多於2000" 657.86412
5006 500603 50060327 "男" 2 44 "多於2000" 641.21095
5006 500603 50060328 "男" 5 44 "多於2000" 688.76244
5006 500603 50060330 "男" 3 44 "多於2000" 611.77827
5006 500603 50060331 "男" 3 44 "多於2000" 622.87166
5006 500603 50060332 "男" 3 44 "多於2000" 664.53871
5006 500603 50060333 "男" 2 44 "多於2000" 556.28829
5006 500603 50060334 "男" 3 44 "多於2000" 665.83132
5006 500603 50060335 "男" 2 44 "多於2000" 561.47456
5006 500603 50060336 "男" 1 44 "多於2000" 666.23064
5006 500603 50060337 "男" 2 44 "多於2000" 617.77632
5006 500603 50060339 "男" 4 44 "多於2000" 577.63492
5006 500603 50060340 "男" 3 44 "多於2000" 545.90156
5006 500603 50060341 "男" 5 44 "多於2000" 610.63392
5006 500603 50060342 "男" 2 44 "多於2000" 685.49928
5006 500603 50060343 "男" 5 44 "多於2000" 583.44843
5006 500603 50060344 "男" 1 44 "多於2000" 623.75914
5006 500603 50060345 "女" 4 44 "多於2000" 492.63458
5006 500603 50060346 "女" 4 44 "多於2000" 595.23173
5007 500718 50071801 "男" 3 31 "多於2000" 660.54005
5007 500718 50071802 "男" 1 31 "多於2000" 633.84063
5007 500718 50071803 "男" 2 31 "多於2000" 677.4559
5007 500718 50071804 "男" 5 31 "多於2000" 569.19292
5007 500718 50071805 "男" 2 31 "多於2000" 674.92649
5007 500718 50071806 "男" 3 31 "多於2000" 560.413
5007 500718 50071807 "男" 5 31 "多於2000" 616.27149
5007 500718 50071808 "男" 4 31 "多於2000" 524.84366
5007 500718 50071809 "男" 1 31 "多於2000" 644.53353
5007 500718 50071810 "男" 3 31 "多於2000" 596.84611
5007 500718 50071811 "男" 5 31 "多於2000" 506.46019
5007 500718 50071812 "男" 3 31 "多於2000" 572.13945
5007 500718 50071813 "男" 4 31 "多於2000" 584.8564
5007 500718 50071814 "男" 1 31 "多於2000" 642.06761
5007 500718 50071815 "男" 3 31 "多於2000" 592.15148
5007 500718 50071816 "男" 2 31 "多於2000" 503.91345
5007 500718 50071817 "男" 3 31 "多於2000" 665.28735
5007 500718 50071818 "女" 2 31 "多於2000" 591.99648
5007 500718 50071819 "女" 1 31 "多於2000" 451.00114
5007 500718 50071820 "女" 1 31 "多於2000" 636.97797
5007 500718 50071821 "女" 2 31 "多於2000" 638.24256
5007 500718 50071822 "女" 3 31 "多於2000" 632.05229
5007 500718 50071823 "女" 4 31 "多於2000" 551.80716
5007 500718 50071824 "女" 4 31 "多於2000" 532.44457
5007 500718 50071825 "女" 4 31 "多於2000" 652.04735
5007 500718 50071826 "女" 5 31 "多於2000" 639.77402
5007 500718 50071827 "女" 1 31 "多於2000" 622.71363
5007 500718 50071828 "女" 3 31 "多於2000" 632.88117
5007 500718 50071829 "女" 5 31 "多於2000" 636.41876
5007 500718 50071830 "女" 3 31 "多於2000" 637.11903
5007 500718 50071831 "男" 3 31 "多於2000" 640.31323
5008 500806 50080601 "男" 4 28 "多於2000" 424.93558
5008 500806 50080602 "男" 2 28 "多於2000" 623.42994
5008 500806 50080603 "男" 3 28 "多於2000" 608.31044
5008 500806 50080604 "女" 4 28 "多於2000" 673.96063
5008 500806 50080605 "男" 1 28 "多於2000" 613.08042
5008 500806 50080606 "男" 3 28 "多於2000" 538.0868
5008 500806 50080607 "男" 5 28 "多於2000" 709.57172
5008 500806 50080608 "男" 4 28 "多於2000" 687.47297
5008 500806 50080609 "男" 4 28 "多於2000" 530.09203
5008 500806 50080610 "男" 3 28 "多於2000" 724.40248
5008 500806 50080611 "男" 2 28 "多於2000" 556.68621
5008 500806 50080612 "男" 5 28 "多於2000" 592.86768
5008 500806 50080613 "男" 3 28 "多於2000" 670.83387
5008 500806 50080615 "女" 1 28 "多於2000" 573.39206
5008 500806 50080616 "女" 3 28 "多於2000" 621.29008
5008 500806 50080617 "女" 3 28 "多於2000" 588.06607
5008 500806 50080618 "女" 5 28 "多於2000" 588.19154
5008 500806 50080619 "女" 3 28 "多於2000" 567.0869
5008 500806 50080620 "女" 2 28 "多於2000" 703.6339
5008 500806 50080621 "女" 1 28 "多於2000" 455.67599
5008 500806 50080622 "女" 2 28 "多於2000" 682.9444
5008 500806 50080623 "女" 2 28 "多於2000" 549.91127
5008 500806 50080624 "女" 2 28 "多於2000" 596.03491
5008 500806 50080625 "女" 3 28 "多於2000" 695.71088
5008 500806 50080626 "女" 2 28 "多於2000" 617.14943
5008 500806 50080627 "女" 3 28 "多於2000" 569.47107
5008 500806 50080628 "男" 3 28 "多於2000" 655.92078
5009 500923 50092301 "男" 4 30 "多於2000" 686.12698
5009 500923 50092302 "男" 5 30 "多於2000" 667.3222
5009 500923 50092303 "男" 2 30 "多於2000" 544.23276
5009 500923 50092304 "男" 5 30 "多於2000" 733.41869
5009 500923 50092305 "男" 5 30 "多於2000" 618.65345
5009 500923 50092306 "男" 5 30 "多於2000" 660.42551
5009 500923 50092307 "男" 1 30 "多於2000" 518.23372
5009 500923 50092309 "男" 2 30 "多於2000" 658.30518
5009 500923 50092310 "男" 1 30 "多於2000" 509.99255
5009 500923 50092311 "男" 2 30 "多於2000" 523.56651
5009 500923 50092312 "男" 3 30 "多於2000" 623.27877
5009 500923 50092313 "男" 5 30 "多於2000" 536.23323
5009 500923 50092314 "男" 1 30 "多於2000" 595.85246
5009 500923 50092315 "男" 5 30 "多於2000" 572.88064
5009 500923 50092316 "女" 3 30 "多於2000" 648.67476
5009 500923 50092317 "女" 2 30 "多於2000" 635.89165
5009 500923 50092318 "女" 3 30 "多於2000" 672.79581
5009 500923 50092319 "女" 5 30 "多於2000" 658.77637
5009 500923 50092320 "女" 5 30 "多於2000" 529.34328
5009 500923 50092321 "女" 2 30 "多於2000" 537.81144
5009 500923 50092322 "女" 2 30 "多於2000" 535.00457
5009 500923 50092323 "女" 5 30 "多於2000" 523.68315
5009 500923 50092324 "女" 3 30 "多於2000" 552.83907
5009 500923 50092325 "女" 5 30 "多於2000" 641.48573
5009 500923 50092326 "女" 4 30 "多於2000" 589.25694
5009 500923 50092327 "女" 5 30 "多於2000" 665.19095
5009 500923 50092328 "女" 3 30 "多於2000" 430.00336
5009 500923 50092329 "女" 3 30 "多於2000" 665.17478
5009 500923 50092330 "男" 3 30 "多於2000" 704.37056
5010 501022 50102201 "男" 3 31 "多於2000" 610.90323
5010 501022 50102202 "男" 2 31 "多於2000" 633.64434
5010 501022 50102203 "男" 3 31 "多於2000" 620.51191
5010 501022 50102204 "男" 1 31 "多於2000" 459.95595
5010 501022 50102205 "男" 2 31 "多於2000" 636.89355
5010 501022 50102206 "女" 3 31 "多於2000" 522.0997
5010 501022 50102207 "男" 4 31 "多於2000" 524.09328
5010 501022 50102208 "男" 1 31 "多於2000" 564.36899
5010 501022 50102209 "男" 5 31 "多於2000" 617.93889
5010 501022 50102210 "男" 3 31 "多於2000" 602.85718
5010 501022 50102211 "男" 2 31 "多於2000" 614.96678
5010 501022 50102212 "男" 5 31 "多於2000" 732.02038
5010 501022 50102213 "男" 3 31 "多於2000" 572.65784
5010 501022 50102214 "男" 2 31 "多於2000" 637.72452
5010 501022 50102215 "男" 5 31 "多於2000" 628.05398
5010 501022 50102216 "男" 4 31 "多於2000" 546.91253
5010 501022 50102217 "女" 1 31 "多於2000" 718.79259
5010 501022 50102218 "女" 5 31 "多於2000" 655.25051
5010 501022 50102219 "女" 2 31 "多於2000" 589.18403
5010 501022 50102220 "女" 4 31 "多於2000" 646.69479
5010 501022 50102221 "女" 2 31 "多於2000" 446.18395
5010 501022 50102222 "女" 5 31 "多於2000" 611.26592
5010 501022 50102223 "女" 1 31 "多於2000" 492.23084
5010 501022 50102224 "女" 3 31 "多於2000" 553.9083
5010 501022 50102225 "女" 2 31 "多於2000" 517.46334
5010 501022 50102226 "女" 1 31 "多於2000" 535.59367
5010 501022 50102227 "女" 5 31 "多於2000" 616.20928
5010 501022 50102228 "女" 3 31 "多於2000" 608.72616
5010 501022 50102229 "女" 1 31 "多於2000" 566.59734
5010 501022 50102230 "女" 3 31 "多於2000" 625.53689
5010 501022 50102231 "女" 2 31 "多於2000" 640.39777
5011 501103 50110301 "男" 1 NA "多於2000" 336.17508
5011 501103 50110302 "男" 2 NA "多於2000" 575.23051
5011 501103 50110303 "男" 1 NA "多於2000" 588.3712
5011 501103 50110304 "男" 3 NA "多於2000" 589.3795
5011 501103 50110305 "男" 1 NA "多於2000" 464.20136
5011 501103 50110306 "男" 2 NA "多於2000" 753.69818
5011 501103 50110307 "男" 3 NA "多於2000" 586.89893
5011 501103 50110309 "男" 3 NA "多於2000" 594.62926
5011 501103 50110310 "男" 3 NA "多於2000" 663.33656
5011 501103 50110311 "男" 5 NA "多於2000" 544.91489
5011 501103 50110312 "男" 3 NA "多於2000" 562.47914
5011 501103 50110313 "女" 4 NA "多於2000" 529.56945
5011 501103 50110314 "女" 3 NA "多於2000" 561.99075
5011 501103 50110315 "女" 5 NA "多於2000" 619.52837
5011 501103 50110316 "女" 1 NA "多於2000" 633.67888
5011 501103 50110317 "女" 3 NA "多於2000" 630.08942
5011 501103 50110318 "女" 2 NA "多於2000" 508.2891
5011 501103 50110319 "女" 1 NA "多於2000" 660.38434
5011 501103 50110320 "女" 5 NA "多於2000" 637.49113
5011 501103 50110321 "女" 1 NA "多於2000" 597.92138
5011 501103 50110322 "女" 4 NA "多於2000" 606.67165
5011 501103 50110323 "女" 5 NA "多於2000" 624.44405
5011 501103 50110324 "女" 5 NA "多於2000" 691.013
5012 501203 50120301 "男" 2 30 NA 476.66237
5012 501203 50120302 "男" 1 30 NA 474.2796
5012 501203 50120303 "男" 3 30 NA 577.79306
5012 501203 50120304 "男" 5 30 NA 568.99791
5012 501203 50120305 "男" 4 30 NA 558.33663
5012 501203 50120306 "男" 3 30 NA 632.54138
5012 501203 50120307 "男" 4 30 NA 549.47916
5012 501203 50120308 "男" 2 30 NA 476.28224
5012 501203 50120309 "男" 1 30 NA 443.30278
5012 501203 50120310 "男" 1 30 NA 386.99276
5012 501203 50120311 "男" 1 30 NA 426.03563
5012 501203 50120312 "男" 4 30 NA 709.11228
5012 501203 50120313 "男" 3 30 NA 612.99518
5012 501203 50120314 "男" NA 30 NA 506.74497
5012 501203 50120315 "女" 5 30 NA 609.71364
5012 501203 50120316 "女" 2 30 NA 672.64499
5012 501203 50120317 "女" 3 30 NA 581.98988
5012 501203 50120318 "女" 3 30 NA 513.7983
5012 501203 50120319 "女" 5 30 NA 536.04706
5012 501203 50120320 "女" 1 30 NA 658.99463
5012 501203 50120321 "女" 2 30 NA 605.47997
5012 501203 50120322 "女" 1 30 NA 591.36935
5012 501203 50120323 "女" 3 30 NA 527.1112
5012 501203 50120324 "女" 1 30 NA 468.82773
5012 501203 50120325 "女" 1 30 NA 488.16764
5012 501203 50120326 "女" 2 30 NA 571.15429
5012 501203 50120327 "女" 1 30 NA 247.22283
5012 501203 50120328 "女" 2 30 NA 581.39345
5012 501203 50120329 "男" 2 30 NA 526.49362
5012 501203 50120330 "女" 1 30 NA 499.71198
5013 501311 50131101 "男" 3 24 "多於2000" 625.95319
5013 501311 50131102 "男" 2 24 "多於2000" 459.11917
5013 501311 50131103 "男" 5 24 "多於2000" 685.70056
5013 501311 50131104 "男" 1 24 "多於2000" 411.8649
5013 501311 50131105 "男" 3 24 "多於2000" 714.31693
5013 501311 50131106 "男" 2 24 "多於2000" 649.5798
5013 501311 50131107 "男" 5 24 "多於2000" 536.6129
