"性別" "數學" "數學興趣" "數學評價" "數學信心" "科學" "科學興趣" "科學評價" "科學信心" "教育資源" "父母教育"
"女" 786.32596 9.4964 7.10653 9.89515 677.7701 8.295 8.01452 8.36075 11.48712 "大學以上"
"女" 702.67379 9.68014 9.65438 10.84951 674.50508 10.36663 9.6695 13.18921 12.25657 "大學以上"
"女" 606.18858 10.89898 7.50425 10.35323 522.35727 9.34076 12.9367 9.12286 11.48712 "大學以上"
"女" 523.08628 8.94763 7.70526 8.76168 544.83267 9.81723 10.13091 9.61581 13.51543 "大學以上"
"女" 714.22738 7.95043 8.12441 6.95612 610.36297 7.51243 9.02481 7.1526 10.23835 "大學以上"
"女" 504.82052 8.16805 7.30474 5.04751 537.22595 10.07979 7.81751 8.36075 12.25657 "大學以上"
"女" 767.351 9.4964 8.82228 12.13375 631.83298 8.09896 8.81725 8.36075 13.51543 "大學以上"
"女" 585.89441 10.05658 10.34734 7.678 516.42085 9.34076 12.9367 7.80038 10.84499 "大學以上"
"女" 616.22966 8.76139 7.10653 7.97991 538.00354 7.31154 8.41123 6.76777 11.48712 "高中"
"女" 710.44749 10.05658 8.34615 8.51577 634.94114 9.11856 8.41123 9.12286 12.25657 "大學以上"
"女" 743.39475 11.75478 12.04145 11.12082 626.56438 12.1963 12.9367 8.87381 10.23835 "大學以上"
"男" 751.84414 13.84849 10.34734 14.06165 626.50077 9.57219 9.6695 9.12286 9.64761 "大學以上"
"男" 661.07615 9.13133 9.65438 9.22591 572.25306 9.57219 9.02481 9.61581 10.23835 "高中"
"男" 441.26821 8.37412 8.57829 8.51577 441.78388 9.11856 9.23574 9.12286 12.25657 "大學以上"
"男" 665.71569 13.84849 8.57829 10.59469 596.51202 9.81723 9.02481 10.4058 9.03613 "大學以上"
"男" 638.17698 11.75478 8.34615 11.75008 602.87951 10.36663 8.21205 9.12286 10.23835 "高中"
"男" 518.15855 7.71308 6.90631 8.25602 522.15773 8.90441 7.61946 8.08863 10.23835 "大學以上"
"男" 727.64002 11.42832 8.12441 9.89515 674.02319 9.34076 8.21205 8.87381 11.48712 "大學以上"
"男" 436.85939 8.76139 7.10653 8.99736 373.16193 8.295 7.61946 9.12286 8.3581 "高中"
"男" 638.42307 8.16805 8.34615 7.97991 617.63469 8.69661 8.41123 8.36075 11.48712 "大學以上"
"男" 391.31739 5.09484 4.96949 3.27793 423.65076 7.71018 4.2834 3.24992 8.3581 "高中"
